T PL,H PL,verb,verb - factive/nonfactive,T - negation,"verb_cat_DOMYŚLAĆ się, że_","verb_cat_PODEJRZEWAĆ, że_","verb_cat_POMYŚLEĆ, że_","verb_cat_UZNAĆ, że_","verb_cat_ZROZUMIEĆ, że_","verb_cat_[e] CZUĆ, że_","verb_cat_[e] czuć, że_","verb_cat_[e] poczuć, że_","verb_cat_[e] spostrzec, że_","verb_cat_[e] widać, że_","verb_cat_[e] widzieć, że_","verb_cat_[e] zauważać, że_","verb_cat_[e] zauważyć, że_","verb_cat_[e] zobaczyć, że_",verb_cat_[elipsa],"verb_cat_[m] wskazywać, że_","verb_cat_[m] zauważyć, że_","verb_cat_[p] czuć, że_","verb_cat_[p] dostrzec, że_","verb_cat_[p] obserwować, że_","verb_cat_[p] poczuć, że_","verb_cat_[p] słychać, że_[przyroda]","verb_cat_[p] słyszeć, że_","verb_cat_[p] widać, że_","verb_cat_[p] widzieć, że_","verb_cat_[p] zauważyć, że_","verb_cat_[p] zobaczyć, że_","verb_cat_alarmować, że_","verb_cat_argumentować, że_","verb_cat_bać się, że_","verb_cat_bywać, że_","verb_cat_być dumnym, że_","verb_cat_być pewnym, że_","verb_cat_być przekonanym, że_","verb_cat_być zdania, że_","verb_cat_być zgodnym, że_","verb_cat_być świadomym, że_","verb_cat_cieszyć się, że_","verb_cat_coś pokazało, że_","verb_cat_coś pokazuje, że_","verb_cat_czepiać się, że_","verb_cat_czytać, że_","verb_cat_dać do zrozumienia, że_","verb_cat_dać poznać po sobie, że_","verb_cat_dać słowo honoru, że_","verb_cat_dać znać, że_","verb_cat_decydować, że_","verb_cat_deklarować, że_","verb_cat_dodawać, że_","verb_cat_dodać, że_","verb_cat_domyślać się, że_","verb_cat_domyślić się, że_","verb_cat_dopowiedzieć, że_","verb_cat_dowiadywać się, że_","verb_cat_dowiedzieć się, że_","verb_cat_dowieść, że_","verb_cat_dowodzić, że_","verb_cat_dziwić się, że_","verb_cat_grozić, że_","verb_cat_grzmieć, że_","verb_cat_gwarantować, że_","verb_cat_głosić, że_","verb_cat_informować, że_","verb_cat_jęczeć, że_","verb_cat_krakać, że_","verb_cat_ktoś nie ma wątpliwości, że_","verb_cat_lamentować, że_","verb_cat_liczyć się z czymś, że_","verb_cat_liczyć, że_","verb_cat_martwić się, że_","verb_cat_meldować, że_","verb_cat_mieć nadzieję, że_","verb_cat_mieć wrażenie, że_","verb_cat_mieć świadomość, że_","verb_cat_mniemać, że_","verb_cat_myśleć, że_","verb_cat_móc się domyślać, że_","verb_cat_mówić, że_","verb_cat_nadmienić, że_","verb_cat_napisać, że_","verb_cat_napomknąć, że_","verb_cat_narzekać, że_","verb_cat_nie mieć wątpliwości, że_","verb_cat_nie ulega wątpliwości, że_","verb_cat_niepokoić się, że_","verb_cat_obawiam się, że_","verb_cat_obawiać się, że_","verb_cat_obić się o uszy, że_","verb_cat_obliczać, że_","verb_cat_obliczyć, że_","verb_cat_oceniać, że_","verb_cat_ocenić, że_","verb_cat_oczekiwać, że_","verb_cat_odczuwać, że_","verb_cat_odkrywać, że_","verb_cat_odkryć, że_","verb_cat_odnieść wrażenie, że_","verb_cat_odnosić wrażenie, że_","verb_cat_odpisać, że_","verb_cat_odpowiadać, że_","verb_cat_odpowiedzieć, że_","verb_cat_ogłosić, że_","verb_cat_okazać się, że_","verb_cat_okazywać się, że_","verb_cat_olśniło kogoś, że_","verb_cat_opowiadać, że_","verb_cat_orientować się, że_","verb_cat_orzec, że_","verb_cat_oszacować, że_","verb_cat_oznajmić, że_","verb_cat_oświadczać, że_","verb_cat_oświadczyć, że_","verb_cat_pamiętać, że_","verb_cat_pisać, że_","verb_cat_planować, że_","verb_cat_podawać, że_","verb_cat_podać, że_","verb_cat_podejrzewać, że_","verb_cat_podkreślać, że_","verb_cat_podkreślić, że_","verb_cat_podpisywać, że_","verb_cat_podpowiadać, że_","verb_cat_poinformować, że_","verb_cat_pojmować, że_","verb_cat_pokazać1, że_","verb_cat_pokazać2, że_","verb_cat_pokazywać2, że_","verb_cat_policzyć, że_","verb_cat_pomyśleć, że_","verb_cat_postanowić, że_","verb_cat_potwierdzać, że_","verb_cat_potwierdzić, że_","verb_cat_powiadać, że_","verb_cat_powiedzieć, że_","verb_cat_powtarzać, że_","verb_cat_poznać, że_","verb_cat_przeczuwać, że_","verb_cat_przeczytać, że_","verb_cat_przekazywać, że_","verb_cat_przekonać [kogoś], że_","verb_cat_przekonać się, że_","verb_cat_przekonywać [kogoś], że_","verb_cat_przekonywać się, że_","verb_cat_przekonywać, że_","verb_cat_przeoczyć, że_","verb_cat_przepowiadać, że_","verb_cat_przerazić się, że_","verb_cat_przewidywać, że_","verb_cat_przewidzieć, że_","verb_cat_przyjmować, że_","verb_cat_przyjąć, że_","verb_cat_przypominać [komuś], że_","verb_cat_przypominać [sobie], że_","verb_cat_przypomnieć [komuś], że_","verb_cat_przypomnieć [sobie], że_","verb_cat_przypuszczać, że_","verb_cat_przyrzekać, że_","verb_cat_przysiąc, że_","verb_cat_przysięgać, że_","verb_cat_przyznawać się, że_","verb_cat_przyznawać, że_","verb_cat_przyznać się, że_","verb_cat_przyznać, że_","verb_cat_rechotać, że_","verb_cat_rozumieć, że_","verb_cat_skłamać, że_","verb_cat_spodziewać się, że_","verb_cat_sprawiać wrażenie, że_","verb_cat_sprawiać, że_","verb_cat_sprawić, że_","verb_cat_stwierdzam, że_","verb_cat_stwierdzać, że_","verb_cat_stwierdzić, że_","verb_cat_sugerować, że_","verb_cat_sygnalizować, że_","verb_cat_szacować, że_","verb_cat_szepnąć, że_","verb_cat_szeptać, że_","verb_cat_sądzić, że_","verb_cat_słyszeć, że_[mowa]","verb_cat_twierdzić, że_","verb_cat_tłumaczyć się, że_","verb_cat_tłumaczyć, że_","verb_cat_uczyć, że_","verb_cat_udawać, że_","verb_cat_udać, że_","verb_cat_udokumentować, że_","verb_cat_udowadniać, że_","verb_cat_udowodnić, że_","verb_cat_ukazać, że_","verb_cat_umówić się, że_","verb_cat_unaocznić, że_","verb_cat_upewnić się, że_","verb_cat_upierać się, że_","verb_cat_uprzedzić, że_","verb_cat_uprzytomnić sobie, że_","verb_cat_uroić sobie, że_","verb_cat_uspokajać, że_","verb_cat_usprawiedliwiać się, że_","verb_cat_ustalać, że_","verb_cat_ustalić [na podstawie czegoś], że_","verb_cat_ustalić, że_","verb_cat_usłyszeć, że_[mowa] ","verb_cat_utrzymywać, że_","verb_cat_uważać, że_","verb_cat_uwierzyć, że_","verb_cat_uwzględnić, że_","verb_cat_uzasadniać, że_","verb_cat_uzmysławiać sobie, że_","verb_cat_uznawać, że_","verb_cat_uznać, że_","verb_cat_uświadamiać komuś, że_","verb_cat_uświadamiać sobie, że_","verb_cat_uświadomić komuś, że_","verb_cat_uświadomić sobie, że_","verb_cat_wciskać, że_","verb_cat_wiadomo [komuś], że_","verb_cat_wiedzieć, że_","verb_cat_wierzyć, że_","verb_cat_wmawiać, że_","verb_cat_wmówić, że_","verb_cat_wnioskować, że_","verb_cat_wnosić z czegoś, że_","verb_cat_wskazywać, że_","verb_cat_wspominać1, że_","verb_cat_wspomnieć2, że_","verb_cat_wybrzydzać, że_","verb_cat_wychodzić komuś, że_","verb_cat_wychodzić z założenia, że_","verb_cat_wyczytać, że_","verb_cat_wydaje się [komuś], że_","verb_cat_wydaje się, że_","verb_cat_wygląda na to, że_","verb_cat_wyjaśniać, że_","verb_cat_wyjaśnić, że_","verb_cat_wyjść na jaw, że_","verb_cat_wykazać, że_","verb_cat_wykazywać, że_","verb_cat_wykluczać, że_","verb_cat_wyliczyć, że_","verb_cat_wynikać, że_","verb_cat_wyobrazić sobie, że_1",verb_cat_wyobrazić sobie_2,"verb_cat_wyobrażać sobie, że_1","verb_cat_wyobrażać sobie, że_2","verb_cat_wypisywać, że_","verb_cat_wypominać [komuś], że_","verb_cat_wyszło komuś, że_","verb_cat_wytykać, że_","verb_cat_wytłumaczyć, że_","verb_cat_wyznać, że_","verb_cat_wątpić, że_","verb_cat_zadeklarować, że_","verb_cat_zakładać, że_","verb_cat_zaobserwować, że_","verb_cat_zapamiętać, że_","verb_cat_zapewniać, że_","verb_cat_zapewnić, że_","verb_cat_zapisać, że_","verb_cat_zaplanować, że_","verb_cat_zapominać, że_","verb_cat_zapomnieć, że_","verb_cat_zapowiada się, że_","verb_cat_zapowiadać, że_","verb_cat_zapowiedzieć, że_","verb_cat_zaproponować, że_","verb_cat_zaprzeczyć, że_","verb_cat_zarzekać się, że_","verb_cat_zarzucać, że_","verb_cat_zarzucić, że_","verb_cat_zaręczać, że_","verb_cat_zastrzec, że_","verb_cat_zastrzegać, że_","verb_cat_zasugerować, że_","verb_cat_zawiadamiać, że_","verb_cat_zaznaczać, że_","verb_cat_zaznaczyć, że_","verb_cat_założyć się, że_","verb_cat_założyć, że_","verb_cat_zaświadczać, że_","verb_cat_zdaje się [komuś], że_","verb_cat_zdarzać się, że_","verb_cat_zdarzyć się, że_","verb_cat_zdawać się, że_","verb_cat_zdawać sobie sprawę, że_","verb_cat_zdać sobie sprawę, że_","verb_cat_zdecydować się, że_","verb_cat_zdecydować, że_","verb_cat_zdziwić się, że_","verb_cat_zeznać, że_","verb_cat_zgadzać się, że_","verb_cat_zgodzić się, że_","verb_cat_zgłaszać, że_","verb_cat_zobowiązać się, że_","verb_cat_zorientować się, że_","verb_cat_zreflektować się, że_","verb_cat_zważyć, że_","verb_cat_zwracać komuś uwagę, że_","verb_cat_zwrócić uwagę na to, że_","verb_cat_zwąchać, że_","verb_cat_łudzić się, że_","verb_cat_śmiać się [z tego], że_","verb_cat_śmiać się, że_","verb_cat_śnić się, że_","verb_cat_świadczyć, że_","verb_cat_żalić się, że_","verb_cat_żartować, że_","verb_cat_żałować, że_",verb_cat_nan,verb - main semantic class_epistemiczny,verb - main semantic class_inne,verb - main semantic class_mówienia,verb - main semantic class_percepcyjny,verb - main semantic class_nan,verb - tense_past,verb - tense_present,verb - tense_nan,complement - tense_inne,complement - tense_past,complement - tense_present,complement - tense_nan,T - type of sentence_indywidualne,T - type of sentence_kontrfaktyczne,T - type of sentence_performatyw,T - type of sentence_pytajne,T - type of sentence_reguła,T - type of sentence_warunkowe,T - type of sentence_nan,"GOLD <T,H>"
"Jednak nie odpowiedziała uśmiechem, widział, że coś rozważa. ", coś rozważa. ,"[e] widzieć, że_",True,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,E
odpisałam ci że z chęcią zaopiekuję się twoim grzybem,z chęcią zaopiekuję się twoim grzybem,"odpisać, że_",False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,N
" W Polsce panuje jednak równowaga między poszczególnymi szczeblami władzy, co sprawia, że prezydenckie rządy „silnej ręki” nie są potrzebne.",prezydenckie rządy „silnej ręki” nie są potrzebne.,"sprawiać, że_",False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,E
"Nie da się założyć opaski... - urwałem i odwróciłem lekko głowę kaprala, chcąc się upewnić, że moje palce nie robią mi makabrycznych dowcipów. ",moje palce nie robią mi makabrycznych dowcipów. ,"upewnić się, że_",False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,N
"Sądzę, że zyski skarbu państwa i PZU z tej transakcji mogą sięgać około miliarda złotych.", zyski skarbu państwa i PZU z tej transakcji mogą sięgać około miliarda złotych.,"sądzić, że_",False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,N
"Nie ulega jednak wątpliwości, że pierwsze miejsce wśród owych ciężarów zajmowała danina wywodząca się z trybutów politycznych.",pierwsze miejsce wśród owych ciężarów zajmowała danina wywodząca się z trybutów politycznych.,"nie ulega wątpliwości, że_",False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,N
"Ustalono, że łączą go z niektórymi członkami grupy bliskie stosunki towarzyskie i że osoby te kontaktują sędziego z wałbrzyskimi przestępcami.", łączą go z niektórymi członkami grupy bliskie stosunki towarzyskie ,"ustalić [na podstawie czegoś], że_",False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,N
"W polu Kryteria: kolumny Cena wpisz warunek logiczny: )[zysk] (nawias klamrowy informuje SZBD Access, że ciąg znaków zysk ma być traktowany jako nazwa kolumny, a nie jako wyraz języka polskiego) .","ciąg znaków zysk ma być traktowany jako nazwa kolumny, a nie jako wyraz języka polskiego) .","informować, że_",False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,N
"Uważałam, że jako Polka mogę to zaproponować w dziesiątą rocznicę ratyfikacji konwencji o prawach dziecka w ONZ", jako Polka mogę to zaproponować w dziesiątą rocznicę ratyfikacji konwencji o prawach dziecka w ONZ,"uważać, że_",False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,N
" Prezydent, który zarzekał się, że nie ma nic wspólnego z atakami na farmy, jednocześnie grzmiał, że zimbabwańscy biali (dzisiaj 70 tys.) to wrogowie publiczni, winni wszystkich nieszczęść kraju, że MDC to marionetka w rękach białych kolonialisto-rasistów."," zimbabwańscy biali (dzisiaj 70 tys.) to wrogowie publiczni, winni wszystkich nieszczęść kraju, ","grzmieć, że_",False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,N
nie dla państwa bo państwo są już oswojeni yy ale yy no jednak domyślam się że dla wielu słuchaczy to jest yyy zu zu zupełne nowum i świat którego yy nie znają , dla wielu słuchaczy to jest yyy zu zu zupełne nowum i świat którego yy nie znają,"domyślać się, że_",False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,N
